"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2019","119.92","121.21","121.41","119.52","5.34M","-0.22%"
"Sep 06, 2019","120.19","121.14","121.19","120.00","4.55M","-0.40%"
"Sep 05, 2019","120.67","119.50","121.63","119.50","5.26M","1.92%"
"Sep 04, 2019","118.40","118.42","118.73","117.80","3.76M","0.68%"
"Sep 03, 2019","117.60","119.86","120.28","117.52","3.20M","-2.30%"
"Aug 30, 2019","120.37","121.47","121.66","119.82","2.37M","-0.31%"
"Aug 29, 2019","120.74","120.46","121.20","119.96","1.90M","1.39%"
"Aug 28, 2019","119.09","117.03","119.31","116.97","2.33M","1.14%"
"Aug 27, 2019","117.75","119.09","119.34","116.85","3.15M","-0.66%"
"Aug 26, 2019","118.53","118.33","118.94","117.38","3.17M","0.65%"
"Aug 23, 2019","117.76","122.00","122.05","117.06","4.80M","-3.69%"
"Aug 22, 2019","122.27","123.31","123.71","121.77","2.32M","-0.19%"
"Aug 21, 2019","122.50","122.50","123.06","121.99","2.95M","0.89%"
"Aug 20, 2019","121.42","123.63","123.78","121.34","3.64M","-2.40%"
"Aug 19, 2019","124.40","126.10","126.15","124.34","3.29M","-0.18%"
"Aug 16, 2019","124.63","123.50","124.75","122.69","2.34M","1.84%"
"Aug 15, 2019","122.38","122.65","123.00","121.14","3.03M","-0.22%"
"Aug 14, 2019","122.65","124.35","125.33","122.13","5.63M","-2.91%"
"Aug 13, 2019","126.32","123.86","126.50","122.51","3.21M","1.91%"
"Aug 12, 2019","123.95","124.99","125.71","123.80","2.92M","-1.76%"
"Aug 09, 2019","126.17","125.58","126.74","124.72","2.14M","0.70%"
"Aug 08, 2019","125.29","123.85","125.70","123.70","2.98M","1.42%"
"Aug 07, 2019","123.54","120.92","123.85","120.22","3.17M","0.81%"
"Aug 06, 2019","122.55","121.06","122.85","120.87","3.50M","1.52%"
"Aug 05, 2019","120.72","122.46","123.08","120.16","5.88M","-2.89%"
"Aug 02, 2019","124.31","123.92","124.91","123.08","3.27M","0.18%"
"Aug 01, 2019","124.09","123.77","126.13","123.52","4.49M","-0.23%"
"Jul 31, 2019","124.37","126.53","126.59","123.62","3.22M","-1.66%"
"Jul 30, 2019","126.47","126.57","126.91","126.30","1.58M","-0.57%"
"Jul 29, 2019","127.19","126.91","127.46","126.54","1.83M","0.32%"
"Jul 26, 2019","126.78","127.09","127.56","126.30","4.24M","-0.29%"
"Jul 25, 2019","127.15","127.81","128.19","126.50","2.66M","-0.63%"
"Jul 24, 2019","127.95","127.71","128.22","126.79","3.63M","-0.20%"
"Jul 23, 2019","128.20","126.38","128.98","126.36","4.06M","1.75%"
"Jul 22, 2019","126.00","124.75","126.01","124.70","4.84M","0.95%"
"Jul 19, 2019","124.82","126.80","128.00","123.80","7.82M","-2.79%"
"Jul 18, 2019","128.40","126.69","129.09","126.66","3.53M","1.04%"
"Jul 17, 2019","127.08","128.02","128.64","127.01","2.25M","-0.77%"
"Jul 16, 2019","128.06","129.22","129.34","127.80","2.73M","-0.40%"
"Jul 15, 2019","128.57","128.25","128.68","127.76","2.36M","0.48%"
"Jul 12, 2019","127.96","127.55","128.00","126.87","1.64M","0.53%"
"Jul 11, 2019","127.28","126.98","127.69","126.44","2.93M","0.31%"
"Jul 10, 2019","126.89","126.70","128.42","126.70","2.73M","0.79%"
"Jul 09, 2019","125.90","124.27","126.04","124.18","2.24M","0.84%"
"Jul 08, 2019","124.85","124.99","125.23","124.64","3.33M","-0.44%"
"Jul 05, 2019","125.40","126.13","126.19","124.31","3.73M","-0.37%"
"Jul 03, 2019","125.86","125.21","126.05","124.94","3.71M","0.61%"
"Jul 02, 2019","125.10","124.78","125.33","124.60","4.08M","0.14%"
"Jul 01, 2019","124.92","125.30","126.40","124.55","4.02M","1.20%"
"Jun 28, 2019","123.44","124.29","124.55","123.20","4.34M","-0.40%"
"Jun 27, 2019","123.94","123.69","124.41","123.56","1.50M","0.28%"
"Jun 26, 2019","123.59","123.18","124.00","123.03","1.90M","0.35%"
"Jun 25, 2019","123.16","124.27","124.57","123.04","2.39M","-0.79%"
"Jun 24, 2019","124.14","124.98","125.42","124.01","2.68M","-0.47%"
"Jun 21, 2019","124.73","125.20","126.31","124.56","5.70M","-0.15%"
"Jun 20, 2019","124.92","125.69","126.40","124.47","3.30M","0.19%"
"Jun 19, 2019","124.68","124.24","124.92","123.68","2.95M","1.01%"
"Jun 18, 2019","123.43","122.81","125.05","122.21","2.73M","1.63%"
"Jun 17, 2019","121.45","122.24","122.24","121.30","2.09M","-0.45%"
"Jun 14, 2019","122.00","122.01","122.61","120.94","2.48M","0.11%"
"Jun 13, 2019","121.86","122.09","122.70","121.42","2.34M","-0.14%"
"Jun 12, 2019","122.03","122.92","123.19","121.59","2.69M","-0.97%"
"Jun 11, 2019","123.23","123.55","124.74","123.08","3.30M","0.46%"
"Jun 10, 2019","122.66","121.60","123.44","121.41","3.45M","1.28%"
"Jun 07, 2019","121.11","119.87","121.36","119.56","2.48M","1.41%"
"Jun 06, 2019","119.43","118.42","119.64","118.15","2.21M","1.11%"
"Jun 05, 2019","118.12","117.18","118.24","117.01","2.57M","1.09%"
"Jun 04, 2019","116.85","115.71","117.00","115.23","3.04M","1.95%"
"Jun 03, 2019","114.62","114.56","115.93","113.89","2.97M","-0.08%"
"May 31, 2019","114.71","115.77","115.98","114.56","2.97M","-1.74%"
"May 30, 2019","116.74","117.21","117.31","116.11","1.88M","-0.23%"
"May 29, 2019","117.01","117.71","117.81","116.04","2.55M","-0.98%"
"May 28, 2019","118.17","119.36","120.12","118.17","2.55M","-1.12%"
"May 24, 2019","119.51","119.21","119.63","118.33","2.24M","0.91%"
"May 23, 2019","118.43","119.27","119.40","117.85","3.29M","-1.32%"
"May 22, 2019","120.01","120.36","120.88","119.44","2.94M","-0.45%"
"May 21, 2019","120.55","120.47","120.67","119.34","3.37M","0.59%"
"May 20, 2019","119.84","118.83","120.32","118.62","2.77M","0.65%"
"May 17, 2019","119.07","118.60","119.59","118.51","5.27M","-0.64%"
"May 16, 2019","119.84","117.77","120.34","117.77","4.14M","1.85%"
"May 15, 2019","117.66","116.18","118.23","115.90","2.71M","0.56%"
"May 14, 2019","117.01","115.98","117.73","115.77","2.46M","0.96%"
"May 13, 2019","115.90","116.42","116.89","115.62","3.71M","-2.16%"
"May 10, 2019","118.46","116.86","118.93","116.21","2.44M","1.02%"
"May 09, 2019","117.26","116.15","117.29","115.38","3.22M","-0.20%"
"May 08, 2019","117.49","117.83","118.11","116.82","4.04M","-0.62%"
"May 07, 2019","118.22","118.37","119.41","117.65","6.28M","-0.94%"
"May 06, 2019","119.34","117.26","119.61","117.05","2.92M","-0.01%"
"May 03, 2019","119.35","117.91","119.66","117.63","2.86M","1.79%"
"May 02, 2019","117.25","117.00","117.65","116.68","2.54M","0.20%"
"May 01, 2019","117.02","117.47","117.99","116.93","2.45M","-0.18%"
"Apr 30, 2019","117.23","117.05","117.35","116.10","2.39M","0.40%"
"Apr 29, 2019","116.76","117.24","117.70","116.55","3.10M","-0.71%"
"Apr 26, 2019","117.60","116.59","117.73","116.10","2.99M","1.48%"
"Apr 25, 2019","115.88","115.23","116.50","114.75","4.60M","1.63%"
"Apr 24, 2019","114.02","113.76","114.36","113.42","2.32M","0.04%"
"Apr 23, 2019","113.97","112.19","114.04","111.90","3.34M","1.46%"
